,support,itemsets
0,0.030303030303030304,frozenset({'0.9i'})
1,0.030303030303030304,frozenset({'1.0i'})
2,0.06060606060606061,frozenset({'1.2i'})
3,0.030303030303030304,frozenset({'1.3i'})
4,0.030303030303030304,frozenset({'1.4i'})
5,0.24242424242424243,frozenset({'1.5i'})
6,0.09090909090909091,frozenset({'1.6i'})
7,0.15151515151515152,frozenset({'1.7i'})
8,0.030303030303030304,frozenset({'1.8i'})
9,0.030303030303030304,frozenset({'1.9i'})
10,0.030303030303030304,frozenset({'100o'})
11,0.030303030303030304,frozenset({'110o'})
12,0.030303030303030304,frozenset({'120m'})
13,0.06060606060606061,frozenset({'120o'})
14,0.12121212121212122,frozenset({'130m'})
15,0.030303030303030304,frozenset({'130o'})
16,0.06060606060606061,frozenset({'140m'})
17,0.12121212121212122,frozenset({'140o'})
18,0.06060606060606061,frozenset({'150o'})
19,0.06060606060606061,frozenset({'160m'})
20,0.030303030303030304,frozenset({'160o'})
21,0.030303030303030304,frozenset({'170o'})
22,0.12121212121212122,frozenset({'180m'})
23,0.09090909090909091,frozenset({'180o'})
24,0.09090909090909091,frozenset({'190m'})
25,0.09090909090909091,frozenset({'190o'})
26,0.15151515151515152,frozenset({'2.0i'})
27,0.06060606060606061,frozenset({'2.1i'})
28,0.030303030303030304,frozenset({'2.2i'})
29,0.030303030303030304,frozenset({'2.3i'})
30,0.15151515151515152,frozenset({'200m'})
31,0.06060606060606061,frozenset({'210m'})
32,0.15151515151515152,frozenset({'210o'})
33,0.06060606060606061,frozenset({'220m'})
34,0.06060606060606061,frozenset({'220o'})
35,0.12121212121212122,frozenset({'230m'})
36,0.030303030303030304,frozenset({'240m'})
37,0.030303030303030304,frozenset({'240o'})
38,0.030303030303030304,frozenset({'250o'})
39,0.030303030303030304,frozenset({'260m'})
40,0.030303030303030304,frozenset({'260o'})
41,0.030303030303030304,frozenset({'270m'})
42,0.030303030303030304,frozenset({'310o'})
43,0.030303030303030304,frozenset({'350m'})
44,0.030303030303030304,frozenset({'60o'})
45,0.030303030303030304,frozenset({'80o'})
46,0.030303030303030304,frozenset({'90o'})
47,0.030303030303030304,"frozenset({'0.9i', '240m'})"
48,0.030303030303030304,"frozenset({'0.9i', '240o'})"
49,0.030303030303030304,"frozenset({'150o', '1.0i'})"
50,0.030303030303030304,"frozenset({'1.0i', '180m'})"
51,0.030303030303030304,"frozenset({'1.2i', '110o'})"
52,0.030303030303030304,"frozenset({'1.2i', '130m'})"
53,0.030303030303030304,"frozenset({'140o', '1.2i'})"
54,0.030303030303030304,"frozenset({'1.2i', '160m'})"
55,0.030303030303030304,"frozenset({'210o', '1.3i'})"
56,0.030303030303030304,"frozenset({'1.3i', '230m'})"
57,0.030303030303030304,"frozenset({'100o', '1.4i'})"
58,0.030303030303030304,"frozenset({'140m', '1.4i'})"
59,0.030303030303030304,"frozenset({'120m', '1.5i'})"
60,0.06060606060606061,"frozenset({'120o', '1.5i'})"
61,0.06060606060606061,"frozenset({'1.5i', '130m'})"
62,0.030303030303030304,"frozenset({'180o', '1.5i'})"
63,0.06060606060606061,"frozenset({'190o', '1.5i'})"
64,0.09090909090909091,"frozenset({'200m', '1.5i'})"
65,0.030303030303030304,"frozenset({'220o', '1.5i'})"
66,0.030303030303030304,"frozenset({'1.5i', '230m'})"
67,0.030303030303030304,"frozenset({'260o', '1.5i'})"
68,0.030303030303030304,"frozenset({'270m', '1.5i'})"
69,0.030303030303030304,"frozenset({'90o', '1.5i'})"
70,0.030303030303030304,"frozenset({'1.6i', '130m'})"
71,0.030303030303030304,"frozenset({'150o', '1.6i'})"
72,0.030303030303030304,"frozenset({'1.6i', '160m'})"
73,0.030303030303030304,"frozenset({'1.6i', '220o'})"
74,0.030303030303030304,"frozenset({'1.6i', '230m'})"
75,0.030303030303030304,"frozenset({'1.6i', '80o'})"
76,0.030303030303030304,"frozenset({'1.7i', '160o'})"
77,0.030303030303030304,"frozenset({'1.7i', '180m'})"
78,0.030303030303030304,"frozenset({'1.7i', '180o'})"
79,0.030303030303030304,"frozenset({'1.7i', '190m'})"
80,0.030303030303030304,"frozenset({'1.7i', '190o'})"
81,0.030303030303030304,"frozenset({'1.7i', '200m'})"
82,0.030303030303030304,"frozenset({'210m', '1.7i'})"
83,0.06060606060606061,"frozenset({'1.7i', '210o'})"
84,0.030303030303030304,"frozenset({'1.7i', '220m'})"
85,0.030303030303030304,"frozenset({'1.8i', '130o'})"
86,0.030303030303030304,"frozenset({'1.8i', '180m'})"
87,0.030303030303030304,"frozenset({'1.9i', '140o'})"
88,0.030303030303030304,"frozenset({'1.9i', '190m'})"
89,0.030303030303030304,"frozenset({'100o', '140m'})"
90,0.030303030303030304,"frozenset({'110o', '130m'})"
91,0.030303030303030304,"frozenset({'120m', '120o'})"
92,0.030303030303030304,"frozenset({'120o', '130m'})"
93,0.030303030303030304,"frozenset({'130m', '80o'})"
94,0.030303030303030304,"frozenset({'90o', '130m'})"
95,0.030303030303030304,"frozenset({'130o', '180m'})"
96,0.030303030303030304,"frozenset({'140o', '140m'})"
97,0.030303030303030304,"frozenset({'2.1i', '140m'})"
98,0.030303030303030304,"frozenset({'140o', '160m'})"
99,0.06060606060606061,"frozenset({'140o', '190m'})"
100,0.030303030303030304,"frozenset({'140o', '2.1i'})"
101,0.030303030303030304,"frozenset({'2.2i', '140o'})"
102,0.030303030303030304,"frozenset({'150o', '160m'})"
103,0.030303030303030304,"frozenset({'150o', '180m'})"
104,0.030303030303030304,"frozenset({'190m', '160o'})"
105,0.030303030303030304,"frozenset({'170o', '180m'})"
106,0.030303030303030304,"frozenset({'2.0i', '170o'})"
107,0.030303030303030304,"frozenset({'180m', '180o'})"
108,0.030303030303030304,"frozenset({'2.0i', '180m'})"
109,0.030303030303030304,"frozenset({'2.0i', '180o'})"
110,0.06060606060606061,"frozenset({'200m', '180o'})"
111,0.030303030303030304,"frozenset({'2.2i', '190m'})"
112,0.09090909090909091,"frozenset({'200m', '190o'})"
113,0.030303030303030304,"frozenset({'2.0i', '200m'})"
114,0.030303030303030304,"frozenset({'210m', '2.0i'})"
115,0.06060606060606061,"frozenset({'2.0i', '210o'})"
116,0.030303030303030304,"frozenset({'2.0i', '220m'})"
117,0.030303030303030304,"frozenset({'2.0i', '250o'})"
118,0.030303030303030304,"frozenset({'260m', '2.0i'})"
119,0.030303030303030304,"frozenset({'2.1i', '230m'})"
120,0.030303030303030304,"frozenset({'60o', '2.1i'})"
121,0.030303030303030304,"frozenset({'2.3i', '310o'})"
122,0.030303030303030304,"frozenset({'2.3i', '350m'})"
123,0.06060606060606061,"frozenset({'210m', '210o'})"
124,0.06060606060606061,"frozenset({'210o', '220m'})"
125,0.030303030303030304,"frozenset({'210o', '230m'})"
126,0.06060606060606061,"frozenset({'220o', '230m'})"
127,0.030303030303030304,"frozenset({'60o', '230m'})"
128,0.030303030303030304,"frozenset({'240o', '240m'})"
129,0.030303030303030304,"frozenset({'260m', '250o'})"
130,0.030303030303030304,"frozenset({'270m', '260o'})"
131,0.030303030303030304,"frozenset({'310o', '350m'})"
132,0.030303030303030304,"frozenset({'0.9i', '240o', '240m'})"
133,0.030303030303030304,"frozenset({'150o', '1.0i', '180m'})"
134,0.030303030303030304,"frozenset({'130m', '1.2i', '110o'})"
135,0.030303030303030304,"frozenset({'140o', '1.2i', '160m'})"
136,0.030303030303030304,"frozenset({'1.3i', '210o', '230m'})"
137,0.030303030303030304,"frozenset({'100o', '140m', '1.4i'})"
138,0.030303030303030304,"frozenset({'120m', '120o', '1.5i'})"
139,0.030303030303030304,"frozenset({'120o', '1.5i', '130m'})"
140,0.030303030303030304,"frozenset({'90o', '1.5i', '130m'})"
141,0.030303030303030304,"frozenset({'180o', '200m', '1.5i'})"
142,0.06060606060606061,"frozenset({'200m', '190o', '1.5i'})"
143,0.030303030303030304,"frozenset({'220o', '1.5i', '230m'})"
144,0.030303030303030304,"frozenset({'270m', '260o', '1.5i'})"
145,0.030303030303030304,"frozenset({'130m', '1.6i', '80o'})"
146,0.030303030303030304,"frozenset({'150o', '1.6i', '160m'})"
147,0.030303030303030304,"frozenset({'1.6i', '220o', '230m'})"
148,0.030303030303030304,"frozenset({'1.7i', '190m', '160o'})"
149,0.030303030303030304,"frozenset({'1.7i', '180m', '180o'})"
150,0.030303030303030304,"frozenset({'1.7i', '200m', '190o'})"
151,0.030303030303030304,"frozenset({'210m', '1.7i', '210o'})"
152,0.030303030303030304,"frozenset({'1.7i', '210o', '220m'})"
153,0.030303030303030304,"frozenset({'1.8i', '130o', '180m'})"
154,0.030303030303030304,"frozenset({'1.9i', '140o', '190m'})"
155,0.030303030303030304,"frozenset({'140o', '2.1i', '140m'})"
156,0.030303030303030304,"frozenset({'2.2i', '140o', '190m'})"
157,0.030303030303030304,"frozenset({'2.0i', '170o', '180m'})"
158,0.030303030303030304,"frozenset({'2.0i', '200m', '180o'})"
159,0.030303030303030304,"frozenset({'210m', '2.0i', '210o'})"
160,0.030303030303030304,"frozenset({'2.0i', '210o', '220m'})"
161,0.030303030303030304,"frozenset({'260m', '2.0i', '250o'})"
162,0.030303030303030304,"frozenset({'60o', '2.1i', '230m'})"
163,0.030303030303030304,"frozenset({'2.3i', '310o', '350m'})"
